#,このファイルは毎木データのエラーチェックに使う各調査区のmesh_xcord/mesh_ycordの組み合わせのリストです。,
plotid,mesh_xcord,mesh_ycord
AS-DB3,10,40
AS-DB3,10,50
AS-DB3,20,0
AS-DB3,20,10
AS-DB3,20,20
AS-DB3,20,30
AS-DB3,20,40
AS-DB3,20,50
AS-DB3,30,0
AS-DB3,30,10
AS-DB3,30,20
AS-DB3,30,30
AS-DB3,30,40
AS-DB3,30,50
AS-DB3,40,0
AS-DB3,40,10
AS-DB3,40,20
AS-DB3,40,30
AS-DB3,40,40
AS-DB3,40,50
AS-DB3,50,0
AS-DB3,50,10
AS-DB3,50,20
AS-DB3,50,30
AS-DB3,50,40
AS-DB3,50,50
AS-DB3,60,0
AS-DB3,60,10
AS-DB3,60,20
AS-DB3,60,30
AS-DB3,60,40
AS-DB3,60,50
AS-DB3,70,0
AS-DB3,70,10
AS-DB3,70,20
AS-DB3,70,30
AS-DB3,70,40
AS-DB3,70,50
AS-DB3,80,0
AS-DB3,80,10
AS-DB3,80,20
AS-DB3,80,30
AS-DB3,80,40
AS-DB3,80,50
AS-DB3,90,0
AS-DB3,90,10
AS-DB3,90,20
AS-DB3,90,30
AS-DB3,90,40
AS-DB3,90,50
AU-DB1,0,0
AU-DB1,0,10
AU-DB1,0,20
AU-DB1,0,30
AU-DB1,0,40
AU-DB1,0,50
AU-DB1,0,60
AU-DB1,0,70
AU-DB1,0,80
AU-DB1,0,90
AU-DB1,10,0
AU-DB1,10,10
AU-DB1,10,20
AU-DB1,10,30
AU-DB1,10,40
AU-DB1,10,50
AU-DB1,10,60
AU-DB1,10,70
AU-DB1,10,80
AU-DB1,10,90
AU-DB1,20,0
AU-DB1,20,10
AU-DB1,20,20
AU-DB1,20,30
AU-DB1,20,40
AU-DB1,20,50
AU-DB1,20,60
AU-DB1,20,70
AU-DB1,20,80
AU-DB1,20,90
AU-DB1,30,0
AU-DB1,30,10
AU-DB1,30,20
AU-DB1,30,30
AU-DB1,30,40
AU-DB1,30,50
AU-DB1,30,60
AU-DB1,30,70
AU-DB1,30,80
AU-DB1,30,90
AU-DB1,40,0
