name_jp,name_jp_std,name_greenlist,match_type,status,name_gbif_accepted,species,genus,family,order,species_jp,family_jp,order_jp,categ,categ2,categ3,categ4,categ5,categ6,fruit_type,remarks
ツリバナ,,Euonymus oxyphyllus Miq. var. oxyphyllus,HIGHERRANK,accepted,Euonymus oxyphyllus Miq.,Euonymus oxyphyllus var. oxyphyllus,Euonymus,Celastraceae,Celastrales,ツリバナ,ニシキギ科,ニシキギ目,4,4,1,4,4,3,さく果,use greenlist name
オオツリバナ,,Euonymus planipes (Koehne) Koehne,EXACT,synonym,Euonymus sachalinensis Maxim.,Euonymus sachalinensis,Euonymus,Celastraceae,Celastrales,オオツリバナ,ニシキギ科,ニシキギ目,,,1,,4,3,さく果,use gbif name; checked in The Plant List
ニシキギ属,,Euonymus sp.,HIGHERRANK,accepted,Euonymus L.,Euonymus sp.,Euonymus,Celastraceae,Celastrales,ニシキギ属,ニシキギ科,ニシキギ目,,,,,4,3,,not found in GreenList; not found in YList
センリョウ,,Sarcandra glabra (Thunb.) Nakai,EXACT,accepted,Sarcandra glabra (Thunb.) Nakai,Sarcandra glabra,Sarcandra,Chloranthaceae,Chloranthales,センリョウ,センリョウ科,センリョウ目,,,1,,5,3,核果,use gbif name
ミズキ,,Cornus controversa Hemsl.,EXACT,accepted,Cornus controversa Hemsl.,Cornus controversa,Cornus,Cornaceae,Cornales,ミズキ,ミズキ科,ミズキ目,4,4,1,4,4,3,核果,use gbif name
ヤマボウシ,,Cornus kousa Buerger ex Hance var. chinensis Osborn,EXACT,synonym,Cornus kousa subsp. chinensis (Osborn) Q.Y.Xiang,Cornus kousa subsp. chinensis,Cornus,Cornaceae,Cornales,ヤマボウシ,ミズキ科,ミズキ目,4,4,1,4,4,3,集合化,use gbif name
クマノミズキ,,Cornus macrophylla Wall.,EXACT,accepted,Cornus macrophylla Wall.,Cornus macrophylla,Cornus,Cornaceae,Cornales,クマノミズキ,ミズキ科,ミズキ目,4,4,1,4,4,3,核果,use gbif name
ウツギ,,Deutzia crenata Siebold et Zucc.,EXACT,accepted,Deutzia crenata Siebold & Zucc.,Deutzia crenata,Deutzia,Hydrangeaceae,Cornales,ウツギ,アジサイ科,ミズキ目,4,4,1,4,4,3,さく果,use gbif name
ウツギ類,,Deutzia sp.,HIGHERRANK,accepted,Deutzia Thunb.,Deutzia sp,Deutzia,Hydrangeaceae,Cornales,ウツギ類,アジサイ科,ミズキ目,,,,,,3,さく果,not found in GreenList; not found in YList
ノリウツギ,,Hydrangea paniculata Siebold,EXACT,accepted,Hydrangea paniculata Siebold,Hydrangea paniculata,Hydrangea,Hydrangeaceae,Cornales,ノリウツギ,アジサイ科,ミズキ目,4,4,1,4,4,3,さく果,use gbif name
ツルアジサイ,,Hydrangea petiolaris Siebold et Zucc.,EXACT,synonym,Hydrangea anomala subsp. petiolaris (Siebold & Zucc.) E.M.McClint.,Hydrangea petiolaris,Hydrangea,Hydrangeaceae,Cornales,ツルアジサイ,アジサイ科,ミズキ目,4,4,1,4,4,3,さく果,use greenlist name
イワガラミ,,Schizophragma hydrangeoides Siebold et Zucc. var. hydrangeoides,HIGHERRANK,synonym,Hydrangea hydrangeoides (Siebold & Zucc.) Bernd Schulz,Schizophragma hydrangeoides var. hydrangeoides,Hydrangea,Hydrangeaceae,Cornales,イワガラミ,アジサイ科,ミズキ目,4,4,1,4,4,3,さく果,use greenlist name
